,Unnamed: 0,customer_id,contract_type,sex,age,pref,payway,identified_doc,career,domain,region,entry_age,selling_method,campaign,amount,paid_flg,customer_rank,arrears_at,arrears_count,bill_updage_count
0,0,250257247,1,1,28,**,4,1,16,0,Q,28,1,L,2149,0,70,99,0,0
17,17,248129923,1,1,26,23,4,1,11,0,T,26,1,L,9800,0,70,99,0,0
19,19,507798572,1,1,39,23,2,1,#,0,C,25,1,L,9800,0,100,6,2,0
24,24,972058729,1,2,21,47,4,17,11,0,Q,18,1,L,2149,0,50,99,0,1
30,30,904528914,1,1,49,43,2,99,#,0,Q,32,1,a,626,0,100,8,1,0
35,35,972073367,1,2,36,22,2,1,11,0,C,30,1,a,756,0,100,99,0,0
40,40,941792903,1,2,42,37,2,1,#,0,S,42,1,L,324,1,100,8,5,0
44,44,249957817,1,1,53,13,2,1,#,500,T,53,#,#,1998,0,50,99,0,1
54,54,243872351,1,1,41,**,3,1,#,0,T,41,1,L,1007,0,50,99,0,1
59,59,328613980,1,1,24,14,4,10,#,0,T,15,1,a,1058,0,110,99,0,1
61,61,972635973,1,2,40,38,4,8,11,0,S,37,1,L,452,0,100,99,0,0
69,69,942483003,2,#,0,33,2,1,#,0,T,999,1,L,540,0,50,99,0,1
71,71,254781894,1,2,24,14,3,8,#,0,T,24,1,a,4890,1,5,99,0,0
72,72,250219187,1,2,26,4,4,1,#,500,H,26,#,9,2300,0,60,99,0,0
81,81,951584064,1,2,32,**,4,1,#,0,T,26,1,L,1007,0,100,99,0,1
100,100,508530647,1,1,44,22,2,1,#,0,C,32,1,a,47709,0,50,99,0,1
102,102,340496117,1,2,32,23,2,1,#,0,T,22,1,L,324,1,100,10,3,0
104,104,983440080,1,2,40,33,4,1,#,0,N,36,1,a,3807,0,90,99,0,0
108,108,258771871,1,1,44,**,2,1,12,0,H,43,1,a,1007,0,30,99,0,1
110,110,959806479,1,2,24,12,4,10,11,0,T,20,1,L,194,0,100,99,0,0
115,115,804465055,1,1,36,34,4,1,11,0,N,24,1,a,2800,0,130,99,0,0
122,122,247695046,1,1,65,**,2,1,12,500,C,65,1,L,540,0,30,99,0,1
124,124,254773265,1,1,76,**,4,1,11,500,T,76,1,L,1620,0,50,99,0,1
128,128,313136311,1,2,40,14,2,1,#,0,T,19,1,a,324,0,100,99,0,0
131,131,967899554,1,2,59,**,2,1,11,0,Q,53,1,L,302,0,100,99,0,0
132,132,992565664,1,2,43,4,2,1,#,0,H,42,1,L,1,0,50,99,0,0
133,133,985675138,1,1,39,**,3,1,11,500,T,37,1,L,594,0,100,99,0,0
136,136,507809318,1,1,39,23,4,1,#,0,C,27,1,L,100,0,100,99,0,1
163,163,941447236,1,2,4,27,4,1,#,0,K,27,1,L,1100,0,2,99,0,1
175,175,255827269,1,2,64,**,2,1,#,0,H,64,1,L,1,0,5,99,0,0
177,177,604460552,1,2,40,27,4,1,#,0,K,21,1,a,2900,0,100,99,0,0
191,191,245985108,1,2,32,**,4,1,12,0,T,30,1,L,480,0,100,99,0,0
195,195,248609515,1,1,33,23,4,1,11,0,C,32,1,L,324,0,100,99,0,0
196,196,303262163,1,1,43,4,2,1,#,0,T,22,1,a,108,0,100,99,0,0
198,198,103456089,1,1,50,1,4,99,#,0,D,34,1,a,324,0,100,99,0,0
203,203,949364118,1,2,30,42,2,10,#,0,Q,22,1,a,3630,0,30,6,3,0
215,215,600797308,1,1,62,28,2,8,#,0,K,41,1,L,240,0,50,99,0,0
226,226,952454950,1,1,27,27,2,1,12,0,K,22,1,L,374,0,70,99,0,0
228,228,241171062,1,1,69,13,2,1,#,0,T,67,1,R,1800,0,50,99,0,0
235,235,244183047,1,2,39,**,4,1,12,0,T,39,1,L,3156,0,80,99,0,1
