,customer_id,contract_type,sex,age,pref,payway,identified_doc,career,domain,region,entry_age,selling_method,campaign,amount,paid_flg,customer_rank,arrears_at,arrears_count,bill_updage_count
0,969950407,1,2,34,2,2,8,11,0,H,31,1,L,,,,,,
1,992316485,1,2,31,11,2,1,#,0,T,29,1,L,,,,,,
2,946458490,1,2,49,24,2,1,#,0,C,40,1,a,600,0,,,,
3,992725431,1,2,43,**,2,1,11,500,K,42,1,L,,,,,,
4,250257247,1,1,28,**,4,1,16,0,Q,28,1,L,2149,0,70,99,0,0
5,973918365,1,2,51,**,4,1,12,0,N,48,1,L,,,,,,
6,607433951,2,#,0,27,2,1,11,0,T,999,1,0,,,,,,
7,266974559,1,2,16,46,2,6,#,0,Q,16,1,a,,,,,,
8,994289528,1,2,40,14,4,27,#,0,T,39,61,P,,,,,,
9,989091448,1,2,59,**,2,1,12,0,T,65,1,R,,,,,,
10,978965455,1,2,40,47,2,1,#,500,Q,37,1,L,1440,0,10,4,2,0
11,964755201,1,2,50,**,2,1,#,0,T,45,1,L,,,,,,
12,340259545,1,1,56,**,4,1,#,0,T,49,1,L,,,,,,
13,943845295,2,#,0,35,2,1,#,0,T,999,0,L,,,,,,
14,941913848,1,1,46,13,2,1,11,0,T,37,1,a,,,,,,
15,944904862,1,1,49,1,3,1,#,0,D,43,1,L,324,1,100,3,5,0
16,245601822,1,1,28,21,2,1,11,0,C,26,1,L,300,0,50,99,0,0
17,317483567,1,2,40,13,4,99,#,0,T,30,1,L,,,,,,
18,957224925,1,1,79,33,3,99,#,0,N,73,1,L,,,,,,
19,635019248,1,2,48,26,2,1,12,100,K,43,1,L,,,,,,
20,953476652,1,2,24,14,4,8,11,0,T,19,1,L,4900,0,50,99,0,1
21,263105406,1,2,31,13,4,1,11,0,T,30,1,a,,,,,,
22,800353108,1,1,65,34,2,99,#,0,N,43,1,a,,,,,,
23,984838942,1,2,30,40,4,1,#,0,Q,28,1,M,,,,,,
24,260972770,1,2,17,**,4,1,#,500,T,40,1,L,,,,,,
25,988638111,1,2,29,28,3,1,11,0,K,27,1,L,,,,,,
26,251998622,1,2,49,45,3,1,11,0,Q,47,1,L,324,0,60,99,0,1
27,260449867,1,2,20,**,4,25,12,500,K,20,1,L,,,,,,
28,606125503,1,2,16,27,4,99,#,0,K,33,1,L,,,,,,
29,259914824,1,1,45,**,1,1,12,0,T,45,1,a,530,0,,,,
30,259005654,2,#,0,29,2,1,11,0,K,999,1,L,,,,,,
31,969786075,1,1,66,17,4,1,#,0,R,64,1,M,,,,,,
32,403293383,1,1,54,13,4,1,#,0,S,41,1,L,,,,,,
33,947972377,1,1,34,14,4,1,11,0,T,30,1,L,,,,,,
34,306305502,1,1,65,14,4,99,#,0,T,54,1,L,,,,,,
35,955185181,1,1,21,**,2,1,#,0,T,18,1,L,,,,,,
36,254902193,2,#,0,13,1,3,#,0,T,999,#,9,,,,,,
37,244859453,1,1,48,**,2,1,#,500,K,48,1,L,,,,,,
38,963672088,1,2,52,27,4,1,#,0,K,50,#,#,,,,,,
39,990265697,1,1,40,11,4,1,12,0,T,39,1,L,,,,,,
40,977933735,1,2,21,8,4,17,#,10,T,18,#,#,,,,,,
41,614283941,1,1,44,25,4,99,#,0,K,30,1,R,,,,,,
42,968486306,1,1,23,**,2,1,12,0,T,20,1,L,324,0,50,99,0,1
43,103281692,1,2,53,1,3,2,#,0,D,36,1,L,315,0,50,99,0,0
44,990118253,1,1,58,**,90,1,12,0,T,57,1,L,,,,,,
45,256600437,1,2,35,11,2,1,#,500,T,35,1,L,,,,,,
46,327792128,1,1,63,10,2,1,#,0,T,55,1,L,,,,,,
47,940142218,1,1,20,14,3,8,#,0,T,12,1,L,,,,,,
48,205164875,1,1,29,1,3,17,11,0,D,22,1,L,,,,,,
49,972608221,2,#,0,13,90,2,#,320,Q,999,#,#,,,,,,
