,Unnamed: 0,customer_id,contract_type,sex,age,pref,payway,identified_doc,career,domain,region,entry_age,selling_method,campaign,amount,paid_flg,customer_rank,arrears_at,arrears_count,bill_updage_count
6424,6424,246817381,1,2,44,**,4,1,#,500,Q,41,1,L,540,0,80,99,0,1
4016,4016,964816475,1,2,26,40,2,1,12,0,T,22,1,L,120,0,3,5,8,1
7522,7522,979125186,1,1,63,**,2,1,12,0,T,59,1,L,324,0,100,99,0,0
7052,7052,985384299,1,2,18,40,2,1,12,0,T,44,1,L,324,0,100,99,0,0
1926,1926,971792720,1,1,39,**,2,1,11,0,T,34,1,a,594,0,60,99,0,1
2130,2130,242096080,1,2,27,**,4,1,12,500,C,26,1,L,1637,0,90,99,0,1
6063,6063,970009340,1,2,26,13,4,1,12,0,T,21,1,L,2980,0,100,99,0,1
4769,4769,952521932,1,1,25,**,4,1,11,0,T,20,1,L,830,0,110,99,0,0
3281,3281,340548591,1,2,29,8,2,1,#,0,T,22,1,L,2116,0,50,99,0,1
3152,3152,319010285,1,1,31,13,2,1,12,0,T,21,1,L,1350,0,80,99,0,0
3949,3949,965407809,1,1,45,12,2,1,#,0,T,42,1,L,324,0,100,99,0,0
5894,5894,400496664,1,2,52,38,2,99,#,0,S,35,1,L,972,0,100,8,1,0
2401,2401,256629158,1,1,41,33,2,99,#,0,N,41,1,a,600,0,0,10,3,0
5332,5332,255211498,1,1,14,23,2,1,#,0,C,46,1,a,360,0,20,99,0,0
7420,7420,804155656,1,2,31,34,4,1,#,0,N,19,1,L,648,0,100,99,0,0
2363,2363,252574910,1,2,44,14,4,1,11,500,T,43,#,9,500,0,100,99,0,0
5890,5890,972092551,1,1,48,**,4,10,11,0,T,46,1,L,1080,0,100,99,0,0
6345,6345,971662412,1,1,46,**,3,1,11,0,T,43,1,L,324,0,100,99,0,0
1896,1896,942576954,1,2,27,13,4,17,#,0,T,21,1,L,3240,0,90,99,0,0
6455,6455,957369153,1,2,24,14,4,17,11,0,T,17,1,L,10605,0,100,99,0,0
7541,7541,990469964,1,1,16,**,4,1,#,0,T,56,1,L,1058,0,20,99,0,1
3709,3709,956703272,1,1,36,22,4,1,11,0,C,25,1,a,2330,0,50,4,3,0
4375,4375,942756070,1,2,36,23,4,1,12,0,C,27,1,L,452,0,100,99,0,1
2844,2844,308943657,1,2,20,14,4,1,#,0,T,41,1,a,820,0,100,99,0,0
3674,3674,965607676,1,2,51,**,4,1,11,0,K,47,1,L,240,0,100,99,0,0
7186,7186,241776370,1,1,27,14,2,1,11,500,T,24,#,9,324,0,100,99,0,0
5345,5345,992467803,1,2,49,12,4,1,11,500,T,48,1,L,960,0,90,99,0,0
2523,2523,963498673,1,2,42,26,2,1,12,0,N,39,1,L,541,0,60,99,0,1
5709,5709,995475467,1,2,64,**,2,1,#,0,K,64,1,L,480,0,50,99,0,0
1877,1877,961601713,1,2,48,13,4,99,#,0,T,43,1,L,205,0,50,99,0,0
3656,3656,509037430,1,1,31,21,2,1,#,0,C,20,1,a,1122,0,60,99,0,0
6957,6957,985777488,1,1,68,**,4,1,12,0,T,66,1,L,498,0,50,99,0,0
